,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_max_drawdown,benchmark_annualized_return,benchmark_annualized_volatility,benchmark_sharpe_ratio,benchmark_sortino_ratio,benchmark_max_drawdown,rsi_window,stock_combination
207,0.04739994792082647,0.16856746656375596,0.16254588432378914,0.16606659547080135,0.26311758728273593,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'AVGO', 'TSLA', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
561,0.042433052879902844,0.13829024944541124,0.16221716982843448,0.1633652587490421,0.253109276591054,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('AVGO', 'TSLA', 'META', 'GOOGL', 'MSFT', 'AAPL', 'NVDA')"
201,0.047045846630509036,0.16772608773651151,0.16125008933014987,0.1658697767442745,0.2548078941118225,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'AVGO', 'TSLA', 'GOOG', 'MSFT', 'AAPL', 'NVDA')"
568,0.04624651082976072,0.1634620103820542,0.16056642621986383,0.16168751949399482,0.3333599221273636,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'META', 'GOOG', 'AMZN', 'MSFT', 'AAPL')"
585,0.04163497422423301,0.1386198214029008,0.15607417471236384,0.15729954736926413,0.2585333189224991,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('AVGO', 'TSLA', 'META', 'GOOG', 'MSFT', 'AAPL', 'NVDA')"
441,0.046782700754492534,0.17231267119292495,0.15543082565591504,0.15800437401666206,0.25524147687186194,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'TSLA', 'GOOGL', 'GOOG', 'AMZN', 'AAPL', 'NVDA')"
591,0.042000220160925084,0.1418913186341936,0.1550497970749239,0.15543500890672945,0.26721242466883094,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('AVGO', 'TSLA', 'META', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
22,0.05202851338394576,0.20753247932877505,0.15433012455465278,0.1552994517189651,0.3984231110300168,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'AVGO', 'TSLA', 'META', 'GOOGL', 'GOOG', 'NVDA')"
376,0.046078757252300484,0.17297586950171584,0.15076529071612382,0.15304312014974727,0.41132136143582315,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'TSLA', 'META', 'GOOGL', 'AMZN', 'MSFT', 'AAPL')"
687,0.04136352868596105,0.14221340779965275,0.15022162126975774,0.15168831686624967,0.22403008058735602,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('TSLA', 'META', 'GOOGL', 'GOOG', 'AMZN', 'AAPL', 'NVDA')"
400,0.04572387192339211,0.173055597653953,0.14864513065234858,0.15086062278169093,0.41170469858947184,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'TSLA', 'META', 'GOOG', 'AMZN', 'MSFT', 'AAPL')"
154,0.05101208820879166,0.20879580208878656,0.14852831282309184,0.15023877746453465,0.36030490489456196,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'AVGO', 'TSLA', 'GOOGL', 'GOOG', 'AAPL', 'NVDA')"
609,0.04120595102796365,0.14586103266695155,0.14538462151425852,0.1467566440741954,0.1916021893327163,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('AVGO', 'TSLA', 'GOOGL', 'GOOG', 'AMZN', 'AAPL', 'NVDA')"
658,0.04164140887530321,0.14905604494369998,0.14518974311627145,0.14733838609264646,0.3409283349405518,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'META', 'GOOGL', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
453,0.04407120163960809,0.1670937415934541,0.14405806830380463,0.14788070190367855,0.2552782946816968,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'TSLA', 'GOOGL', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
107,0.0457599323586666,0.17937514840902266,0.14360926018540293,0.1429130888584921,0.3152769537177944,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,30,"('NFLX', 'AVGO', 'TSLA', 'META', 'AMZN', 'MSFT', 'NVDA')"
664,0.04127736287744255,0.14910672858665078,0.14269887803941442,0.14474509333049507,0.3434744107982359,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'META', 'GOOG', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
